거래일시,종목명,종목코드,거래구분,수량,가격,감정태그,메모,수익률,코스피지수,기술분석,뉴스분석,감정분석
2024-01-29,SK하이닉스,000660,매수,51,136935,#확신,"펀더멘털 분석 결과 SK하이닉스 저평가, 전략적 매수",9.56,2320.89,이동평균선 상향 돌파로 상승 모멘텀 확인,친환경 정책 강화로 관련 산업 수혜 예상,전문가 의견에만 의존하는 수동적 태도
2024-02-03,현대차,005380,매도,88,60044,#추격매수,현대차 상승장 놓치기 싫어서 추격 매수,20.47,2413.99,MACD 데드크로스 형성으로 하락 전환 우려,경쟁사 부진으로 상대적 경쟁력 부각,단기 수익에만 집중하는 근시안적 사고
2024-02-04,셀트리온,068270,매수,488,452335,#패닉,"셀트리온 폭락, 더 이상 못 견디겠어서 전량 매도",-24.33,2495.11,RSI 과매수 구간 진입으로 단기 조정 예상,글로벌 트렌드 변화로 성장주 선호도 증가,손실 회복을 위한 무모한 도박성 투자
2024-02-05,삼성전자,005930,매도,338,176460,#추격매수,어제 삼성전자 상한가 갔는데 오늘이라도 타야겠어서 추격매수,-63.73,2401.4,MACD 데드크로스 형성으로 하락 전환 우려,글로벌 트렌드 변화로 성장주 선호도 증가,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-02-05,SK하이닉스,000660,매도,36,95631,#추격매수,어제 SK하이닉스 상한가 갔는데 오늘이라도 타야겠어서 추격매수,3.49,2297.99,MACD 데드크로스 형성으로 하락 전환 우려,정부 지원 정책 발표로 관련주 테마 부각,손실 회복을 위한 무모한 도박성 투자
2024-02-08,카카오,035720,매수,121,57125,#불안,카카오 계속 가지고 있기 불안해서 일부 매도,-0.91,2590.41,MACD 데드크로스 형성으로 하락 전환 우려,친환경 정책 강화로 관련 산업 수혜 예상,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-02-08,하이브,352820,매수,10,241789,#추격매수,친구가 하이브로 돈 벌었다고 해서 따라 매수,-12.38,2370.2,이동평균선 상향 돌파로 상승 모멘텀 확인,업계 재편 가속화로 구조 조정 압력 증가,체계적 분석을 통한 냉정한 투자 접근
2024-02-09,하이브,352820,매수,62,112671,#추격매수,"하이브 급등 중, 놓치기 아까워서 일단 매수",-28.83,2342.0,MACD 데드크로스 형성으로 하락 전환 우려,친환경 정책 강화로 관련 산업 수혜 예상,전문가 의견에만 의존하는 수동적 태도
2024-02-17,현대차,005380,매수,82,369823,#패닉,패닉장이다... 현대차 지금 당장 다 팔아야 함,-6.09,2280.88,MACD 데드크로스 형성으로 하락 전환 우려,업계 재편 가속화로 구조 조정 압력 증가,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-02-20,셀트리온,068270,매도,380,70092,#추격매수,모두가 셀트리온 산다고 해서 뒤늦게 합류,5.22,2355.78,거래량 감소와 함께 상승 동력 약화,글로벌 트렌드 변화로 성장주 선호도 증가,전문가 의견에만 의존하는 수동적 태도
2024-02-21,삼성전자,005930,매도,60,242739,#합리적,삼성전자 밸류에이션 적정 수준에서 매수,18.62,2401.01,일목균형표 구름대 상단 저항 직면,친환경 정책 강화로 관련 산업 수혜 예상,시장 상황 변화에 대한 과도한 낙관론
2024-02-21,셀트리온,068270,매도,377,186398,#욕심,셀트리온 이미 올랐지만 더 오를 것 같아서 추가 매수,-53.89,2473.9,스토캐스틱 과매수에서 베어리시 다이버전스,정부 지원 정책 발표로 관련주 테마 부각,손실 회복을 위한 무모한 도박성 투자
2024-02-26,카카오,035720,매도,236,357684,#추격매수,유튜버가 카카오 추천해서 급히 매수,8.1,2327.83,거래량 감소와 함께 상승 동력 약화,대규모 투자 계획 발표로 미래 가치 기대,전문가 의견에만 의존하는 수동적 태도
2024-03-05,LG에너지솔루션,373220,매도,409,97071,#추격매수,LG에너지솔루션 뉴스 터지고 급등해서 서둘러 매수했음,-9.41,2420.07,이동평균선 상향 돌파로 상승 모멘텀 확인,어닝 서프라이즈 발표로 시장 기대감 급상승,확실한 수익을 보장받을 수 있다는 착각
2024-03-06,하이브,352820,매수,445,247611,#욕심,하이브 대박날 것 같아서 풀매수,36.13,2384.82,쐐기형 패턴 완성으로 급등 후 조정 예상,업계 재편 가속화로 구조 조정 압력 증가,체계적 분석을 통한 냉정한 투자 접근
2024-03-09,카카오,035720,매수,227,237901,#추격매수,모두가 카카오 산다고 해서 뒤늦게 합류,-9.89,2435.96,피보나치 확장 161.8% 도달로 과열 구간,신기술 도입 지연으로 성장 둔화 우려,체계적 분석을 통한 냉정한 투자 접근
2024-03-11,하이브,352820,매도,378,67260,#합리적,분할 매수 전략으로 하이브 추가 매수,3.98,2532.37,일목균형표 구름대 상단 저항 직면,정부 지원 정책 발표로 관련주 테마 부각,전문가 의견에만 의존하는 수동적 태도
2024-03-13,NAVER,035420,매도,470,117853,#패닉,"NAVER 폭락, 더 이상 못 견디겠어서 전량 매도",16.07,2335.66,MACD 데드크로스 형성으로 하락 전환 우려,친환경 정책 강화로 관련 산업 수혜 예상,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-03-13,현대차,005380,매수,110,285546,#추격매수,"현대차 급등 중, 놓치기 아까워서 일단 매수",-19.98,2378.24,쐐기형 패턴 완성으로 급등 후 조정 예상,업계 재편 가속화로 구조 조정 압력 증가,시장 상황 변화에 대한 과도한 낙관론
2024-03-16,현대차,005380,매수,71,195801,#불안,마음이 불안해서 현대차 절반만 매도,-17.17,2365.47,스토캐스틱 과매수에서 베어리시 다이버전스,해외 수주 확대로 수출 기업 수혜 기대,전문가 의견에만 의존하는 수동적 태도
2024-03-20,NAVER,035420,매수,368,452115,#추격매수,NAVER 상승장 놓치기 싫어서 추격 매수,-34.08,2173.5,저항선 돌파 실패로 반락 가능성 증가,업계 재편 가속화로 구조 조정 압력 증가,확실한 수익을 보장받을 수 있다는 착각
2024-03-20,셀트리온,068270,매수,361,285225,#불안,마음이 불안해서 셀트리온 절반만 매도,-2.38,2429.04,일목균형표 구름대 상단 저항 직면,대규모 투자 계획 발표로 미래 가치 기대,단기 수익에만 집중하는 근시안적 사고
2024-03-22,SK하이닉스,000660,매수,488,217654,#공포,"너무 무서워서 SK하이닉스 전량 매도, 더 떨어지기 전에",-0.22,2521.61,거래량 감소와 함께 상승 동력 약화,업계 재편 가속화로 구조 조정 압력 증가,체계적 분석을 통한 냉정한 투자 접근
2024-03-25,LG에너지솔루션,373220,매수,480,305511,#추격매수,모두가 LG에너지솔루션 산다고 해서 뒤늦게 합류,-18.28,2369.19,저항선 돌파 실패로 반락 가능성 증가,어닝 서프라이즈 발표로 시장 기대감 급상승,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-03-28,SK하이닉스,000660,매도,292,410737,#추격매수,어제 SK하이닉스 상한가 갔는데 오늘이라도 타야겠어서 추격매수,-24.5,2498.58,일목균형표 구름대 상단 저항 직면,신기술 도입 지연으로 성장 둔화 우려,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-03-31,하이브,352820,매도,155,443229,#욕심,쉬운 돈이다 싶어서 하이브 물량 늘림,12.78,2474.24,이동평균선 상향 돌파로 상승 모멘텀 확인,신기술 도입 지연으로 성장 둔화 우려,주변 성공 사례에 자극받아 따라 하는 심리
2024-04-01,하이브,352820,매수,145,374162,#패닉,"하이브 폭락, 더 이상 못 견디겠어서 전량 매도",-20.35,2415.72,피보나치 확장 161.8% 도달로 과열 구간,금리 인하 기대감으로 성장주 재평가,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-04-05,현대차,005380,매수,470,99237,#추격매수,어제 현대차 상한가 갔는데 오늘이라도 타야겠어서 추격매수,-27.03,2602.93,스토캐스틱 과매수에서 베어리시 다이버전스,정부 지원 정책 발표로 관련주 테마 부각,손실 회복을 위한 무모한 도박성 투자
2024-04-05,삼성전자,005930,매도,350,298693,#패닉,"삼성전자 폭락, 더 이상 못 견디겠어서 전량 매도",-25.94,2288.7,일목균형표 구름대 상단 저항 직면,금리 인하 기대감으로 성장주 재평가,시장 상황 변화에 대한 과도한 낙관론
2024-04-06,NAVER,035420,매수,214,371571,#추격매수,NAVER 커뮤니티에서 난리나서 FOMO 매수,0.18,2528.29,저항선 돌파 실패로 반락 가능성 증가,대규모 투자 계획 발표로 미래 가치 기대,단기 수익에만 집중하는 근시안적 사고
2024-04-12,하이브,352820,매수,216,265919,#추격매수,하이브 커뮤니티에서 난리나서 FOMO 매수,6.34,2591.74,피보나치 확장 161.8% 도달로 과열 구간,경쟁사 부진으로 상대적 경쟁력 부각,손실 회복을 위한 무모한 도박성 투자
2024-04-17,하이브,352820,매수,351,446711,#불안,하이브 계속 가지고 있기 불안해서 일부 매도,-27.84,2426.95,저항선 돌파 실패로 반락 가능성 증가,경쟁사 부진으로 상대적 경쟁력 부각,체계적 분석을 통한 냉정한 투자 접근
2024-04-20,NAVER,035420,매수,33,377762,#욕심,쉬운 돈이다 싶어서 NAVER 물량 늘림,9.37,2422.13,저항선 돌파 실패로 반락 가능성 증가,금리 인하 기대감으로 성장주 재평가,손실 회복을 위한 무모한 도박성 투자
2024-04-29,LG에너지솔루션,373220,매도,414,90549,#합리적,LG에너지솔루션 밸류에이션 적정 수준에서 매수,3.8,2412.21,MACD 데드크로스 형성으로 하락 전환 우려,신기술 도입 지연으로 성장 둔화 우려,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-04-29,NAVER,035420,매도,157,476498,#욕심,NAVER 대박날 것 같아서 풀매수,-2.94,2565.37,스토캐스틱 과매수에서 베어리시 다이버전스,정부 지원 정책 발표로 관련주 테마 부각,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-05-02,NAVER,035420,매수,263,110705,#추격매수,NAVER 커뮤니티에서 난리나서 FOMO 매수,-18.5,2431.64,RSI 과매수 구간 진입으로 단기 조정 예상,업계 재편 가속화로 구조 조정 압력 증가,확실한 수익을 보장받을 수 있다는 착각
2024-05-07,현대차,005380,매도,495,103560,#합리적,분할 매수 전략으로 현대차 추가 매수,13.98,2217.27,RSI 과매수 구간 진입으로 단기 조정 예상,정부 지원 정책 발표로 관련주 테마 부각,감정적 흥분 상태에서 비합리적 판단
2024-05-07,삼성전자,005930,매수,489,285914,#욕심,삼성전자 이미 올랐지만 더 오를 것 같아서 추가 매수,7.09,2345.76,RSI 과매수 구간 진입으로 단기 조정 예상,글로벌 트렌드 변화로 성장주 선호도 증가,전문가 의견에만 의존하는 수동적 태도
2024-05-08,카카오,035720,매수,191,406117,#불안,마음이 불안해서 카카오 절반만 매도,4.62,2597.46,일목균형표 구름대 상단 저항 직면,경쟁사 부진으로 상대적 경쟁력 부각,단기 수익에만 집중하는 근시안적 사고
2024-05-09,SK하이닉스,000660,매도,275,359456,#욕심,SK하이닉스 이미 올랐지만 더 오를 것 같아서 추가 매수,-32.78,2471.71,RSI 과매수 구간 진입으로 단기 조정 예상,업계 재편 가속화로 구조 조정 압력 증가,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-05-12,LG에너지솔루션,373220,매수,148,159396,#공포,"너무 무서워서 LG에너지솔루션 전량 매도, 더 떨어지기 전에",-12.8,2445.85,RSI 과매수 구간 진입으로 단기 조정 예상,신기술 도입 지연으로 성장 둔화 우려,확실한 수익을 보장받을 수 있다는 착각
2024-05-19,셀트리온,068270,매수,159,358176,#공포,"너무 무서워서 셀트리온 전량 매도, 더 떨어지기 전에",-11.16,2480.66,저항선 돌파 실패로 반락 가능성 증가,업계 재편 가속화로 구조 조정 압력 증가,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-05-26,하이브,352820,매도,43,170805,#추격매수,하이브 커뮤니티에서 난리나서 FOMO 매수,-26.41,2406.39,쐐기형 패턴 완성으로 급등 후 조정 예상,해외 수주 확대로 수출 기업 수혜 기대,단기 수익에만 집중하는 근시안적 사고
2024-05-28,NAVER,035420,매도,30,114100,#패닉,"NAVER 폭락, 더 이상 못 견디겠어서 전량 매도",-3.66,2383.02,MACD 데드크로스 형성으로 하락 전환 우려,글로벌 트렌드 변화로 성장주 선호도 증가,체계적 분석을 통한 냉정한 투자 접근
2024-05-28,삼성전자,005930,매도,288,435826,#추격매수,모두가 삼성전자 산다고 해서 뒤늦게 합류,-36.99,2313.54,볼린저밴드 상단 이탈로 강한 상승세 지속,대규모 투자 계획 발표로 미래 가치 기대,전문가 의견에만 의존하는 수동적 태도
2024-05-28,셀트리온,068270,매수,148,453729,#불안,셀트리온 계속 가지고 있기 불안해서 일부 매도,14.03,2494.83,저항선 돌파 실패로 반락 가능성 증가,경쟁사 부진으로 상대적 경쟁력 부각,체계적 분석을 통한 냉정한 투자 접근
2024-05-29,삼성전자,005930,매수,122,328532,#욕심,삼성전자 100% 오를 것 같아서 대량 매수,-42.5,2512.43,거래량 감소와 함께 상승 동력 약화,경쟁사 부진으로 상대적 경쟁력 부각,단기 수익에만 집중하는 근시안적 사고
2024-05-30,셀트리온,068270,매수,339,415813,#추격매수,셀트리온 상승장 놓치기 싫어서 추격 매수,36.53,2443.09,스토캐스틱 과매수에서 베어리시 다이버전스,신기술 도입 지연으로 성장 둔화 우려,주변 성공 사례에 자극받아 따라 하는 심리
2024-06-02,하이브,352820,매수,433,409151,#추격매수,주식방에서 하이브 대박 예상한다고 해서 매수,25.34,2493.62,이동평균선 상향 돌파로 상승 모멘텀 확인,해외 수주 확대로 수출 기업 수혜 기대,주변 성공 사례에 자극받아 따라 하는 심리
2024-06-05,삼성전자,005930,매도,242,155076,#추격매수,주식방에서 삼성전자 대박 예상한다고 해서 매수,7.34,2439.25,RSI 과매수 구간 진입으로 단기 조정 예상,친환경 정책 강화로 관련 산업 수혜 예상,감정적 흥분 상태에서 비합리적 판단
2024-06-06,NAVER,035420,매수,116,387651,#추격매수,어제 NAVER 상한가 갔는데 오늘이라도 타야겠어서 추격매수,-31.02,2610.34,스토캐스틱 과매수에서 베어리시 다이버전스,금리 인하 기대감으로 성장주 재평가,손실 회복을 위한 무모한 도박성 투자
2024-06-08,현대차,005380,매수,166,96063,#추격매수,친구가 현대차로 돈 벌었다고 해서 따라 매수,-8.78,2449.88,볼린저밴드 상단 이탈로 강한 상승세 지속,대규모 투자 계획 발표로 미래 가치 기대,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-06-12,SK하이닉스,000660,매도,262,344815,#합리적,SK하이닉스 밸류에이션 적정 수준에서 매수,18.61,2530.08,일목균형표 구름대 상단 저항 직면,대규모 투자 계획 발표로 미래 가치 기대,시장 상황 변화에 대한 과도한 낙관론
2024-06-12,NAVER,035420,매수,191,292647,#추격매수,NAVER 상승장 놓치기 싫어서 추격 매수,-14.84,2372.54,MACD 데드크로스 형성으로 하락 전환 우려,경쟁사 부진으로 상대적 경쟁력 부각,시장 상황 변화에 대한 과도한 낙관론
2024-06-13,셀트리온,068270,매도,34,466214,#욕심,셀트리온 대박날 것 같아서 풀매수,-9.02,2486.9,MACD 데드크로스 형성으로 하락 전환 우려,업계 재편 가속화로 구조 조정 압력 증가,감정적 흥분 상태에서 비합리적 판단
2024-06-14,카카오,035720,매수,420,340318,#패닉,"카카오 폭락, 더 이상 못 견디겠어서 전량 매도",-21.53,2472.46,볼린저밴드 상단 이탈로 강한 상승세 지속,금리 인하 기대감으로 성장주 재평가,단기 수익에만 집중하는 근시안적 사고
2024-06-16,카카오,035720,매도,21,407554,#공포,코스피 폭락하니까 카카오 급히 손절했음,-16.54,2484.17,피보나치 확장 161.8% 도달로 과열 구간,정부 지원 정책 발표로 관련주 테마 부각,확실한 수익을 보장받을 수 있다는 착각
2024-06-17,SK하이닉스,000660,매수,255,251955,#합리적,분할 매수 전략으로 SK하이닉스 추가 매수,10.3,2436.09,저항선 돌파 실패로 반락 가능성 증가,금리 인하 기대감으로 성장주 재평가,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-06-19,LG에너지솔루션,373220,매도,453,332303,#확신,LG에너지솔루션 기술적 분석상 매수 타이밍으로 판단,14.83,2448.37,RSI 과매수 구간 진입으로 단기 조정 예상,정부 지원 정책 발표로 관련주 테마 부각,확실한 수익을 보장받을 수 있다는 착각
2024-06-20,하이브,352820,매수,477,476913,#욕심,쉬운 돈이다 싶어서 하이브 물량 늘림,-11.35,2702.69,피보나치 확장 161.8% 도달로 과열 구간,대규모 투자 계획 발표로 미래 가치 기대,전문가 의견에만 의존하는 수동적 태도
2024-06-22,하이브,352820,매수,163,475814,#불안,마음이 불안해서 하이브 절반만 매도,-10.23,2503.37,이동평균선 상향 돌파로 상승 모멘텀 확인,금리 인하 기대감으로 성장주 재평가,확실한 수익을 보장받을 수 있다는 착각
2024-06-24,삼성전자,005930,매도,256,320437,#욕심,주변에서 삼성전자 추천해서 욕심내서 매수,-7.55,2279.74,피보나치 확장 161.8% 도달로 과열 구간,정부 지원 정책 발표로 관련주 테마 부각,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-06-24,삼성전자,005930,매도,287,215637,#추격매수,모두가 삼성전자 산다고 해서 뒤늦게 합류,-10.84,2356.86,쐐기형 패턴 완성으로 급등 후 조정 예상,해외 수주 확대로 수출 기업 수혜 기대,손실 회복을 위한 무모한 도박성 투자
2024-06-29,셀트리온,068270,매도,222,455639,#추격매수,모두가 셀트리온 산다고 해서 뒤늦게 합류,9.81,2503.86,쐐기형 패턴 완성으로 급등 후 조정 예상,신기술 도입 지연으로 성장 둔화 우려,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-06-29,하이브,352820,매수,358,435195,#공포,"너무 무서워서 하이브 전량 매도, 더 떨어지기 전에",-26.51,2404.55,RSI 과매수 구간 진입으로 단기 조정 예상,글로벌 트렌드 변화로 성장주 선호도 증가,감정적 흥분 상태에서 비합리적 판단
2024-07-01,SK하이닉스,000660,매수,420,103924,#추격매수,"SK하이닉스 급등 중, 놓치기 아까워서 일단 매수",5.12,2684.77,쐐기형 패턴 완성으로 급등 후 조정 예상,어닝 서프라이즈 발표로 시장 기대감 급상승,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-07-02,셀트리온,068270,매수,379,359748,#욕심,이번엔 확실하다 싶어서 셀트리온 올인,-16.31,2442.02,RSI 과매수 구간 진입으로 단기 조정 예상,어닝 서프라이즈 발표로 시장 기대감 급상승,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-07-11,셀트리온,068270,매도,237,274082,#합리적,셀트리온 밸류에이션 적정 수준에서 매수,3.34,2277.19,MACD 데드크로스 형성으로 하락 전환 우려,경쟁사 부진으로 상대적 경쟁력 부각,체계적 분석을 통한 냉정한 투자 접근
2024-07-13,삼성전자,005930,매수,494,58075,#추격매수,어제 삼성전자 상한가 갔는데 오늘이라도 타야겠어서 추격매수,-14.34,2485.49,일목균형표 구름대 상단 저항 직면,어닝 서프라이즈 발표로 시장 기대감 급상승,손실 회복을 위한 무모한 도박성 투자
2024-07-24,삼성전자,005930,매수,393,482809,#추격매수,"삼성전자 급등 중, 놓치기 아까워서 일단 매수",9.04,2201.17,쐐기형 패턴 완성으로 급등 후 조정 예상,친환경 정책 강화로 관련 산업 수혜 예상,전문가 의견에만 의존하는 수동적 태도
2024-07-24,SK하이닉스,000660,매수,130,284833,#추격매수,모두가 SK하이닉스 산다고 해서 뒤늦게 합류,-23.44,2356.48,이동평균선 상향 돌파로 상승 모멘텀 확인,해외 수주 확대로 수출 기업 수혜 기대,체계적 분석을 통한 냉정한 투자 접근
2024-07-25,LG에너지솔루션,373220,매수,356,154621,#불안,LG에너지솔루션 계속 가지고 있기 불안해서 일부 매도,2.06,2312.75,일목균형표 구름대 상단 저항 직면,글로벌 트렌드 변화로 성장주 선호도 증가,주변 성공 사례에 자극받아 따라 하는 심리
2024-07-28,현대차,005380,매수,260,103531,#추격매수,현대차 뉴스 터지고 급등해서 서둘러 매수했음,-0.9,2681.74,이동평균선 상향 돌파로 상승 모멘텀 확인,정부 지원 정책 발표로 관련주 테마 부각,확실한 수익을 보장받을 수 있다는 착각
2024-08-01,NAVER,035420,매도,268,168402,#욕심,이번엔 확실하다 싶어서 NAVER 올인,-47.87,2360.65,RSI 과매수 구간 진입으로 단기 조정 예상,친환경 정책 강화로 관련 산업 수혜 예상,체계적 분석을 통한 냉정한 투자 접근
2024-08-01,카카오,035720,매수,128,449608,#공포,코스피 폭락하니까 카카오 급히 손절했음,-35.18,2372.2,쐐기형 패턴 완성으로 급등 후 조정 예상,친환경 정책 강화로 관련 산업 수혜 예상,주변 성공 사례에 자극받아 따라 하는 심리
2024-08-02,LG에너지솔루션,373220,매수,103,366907,#추격매수,"LG에너지솔루션 급등 중, 놓치기 아까워서 일단 매수",-15.45,2559.02,RSI 과매수 구간 진입으로 단기 조정 예상,업계 재편 가속화로 구조 조정 압력 증가,확실한 수익을 보장받을 수 있다는 착각
2024-08-02,삼성전자,005930,매수,12,479090,#추격매수,모두가 삼성전자 산다고 해서 뒤늦게 합류,-1.92,2357.4,거래량 감소와 함께 상승 동력 약화,글로벌 트렌드 변화로 성장주 선호도 증가,주변 성공 사례에 자극받아 따라 하는 심리
2024-08-05,삼성전자,005930,매수,209,262484,#확신,삼성전자 기술적 분석상 매수 타이밍으로 판단,14.75,2288.47,저항선 돌파 실패로 반락 가능성 증가,업계 재편 가속화로 구조 조정 압력 증가,전문가 의견에만 의존하는 수동적 태도
2024-08-06,삼성전자,005930,매도,36,250788,#공포,코스피 폭락하니까 삼성전자 급히 손절했음,-5.18,2490.87,일목균형표 구름대 상단 저항 직면,해외 수주 확대로 수출 기업 수혜 기대,단기 수익에만 집중하는 근시안적 사고
2024-08-13,LG에너지솔루션,373220,매도,54,82595,#추격매수,유튜버가 LG에너지솔루션 추천해서 급히 매수,-8.82,2373.37,이동평균선 상향 돌파로 상승 모멘텀 확인,금리 인하 기대감으로 성장주 재평가,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-08-13,NAVER,035420,매도,93,494778,#욕심,주변에서 NAVER 추천해서 욕심내서 매수,-14.16,2364.11,스토캐스틱 과매수에서 베어리시 다이버전스,경쟁사 부진으로 상대적 경쟁력 부각,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-08-15,하이브,352820,매도,129,308301,#욕심,하이브 이미 올랐지만 더 오를 것 같아서 추가 매수,-38.29,2431.12,거래량 감소와 함께 상승 동력 약화,친환경 정책 강화로 관련 산업 수혜 예상,확실한 수익을 보장받을 수 있다는 착각
2024-08-22,SK하이닉스,000660,매수,59,158395,#추격매수,SK하이닉스 뉴스 터지고 급등해서 서둘러 매수했음,-57.56,2377.39,MACD 데드크로스 형성으로 하락 전환 우려,금리 인하 기대감으로 성장주 재평가,주변 성공 사례에 자극받아 따라 하는 심리
2024-08-25,하이브,352820,매수,205,244013,#확신,"펀더멘털 분석 결과 하이브 저평가, 전략적 매수",-12.01,2300.54,쐐기형 패턴 완성으로 급등 후 조정 예상,어닝 서프라이즈 발표로 시장 기대감 급상승,단기 수익에만 집중하는 근시안적 사고
2024-08-26,현대차,005380,매도,182,69975,#확신,"펀더멘털 분석 결과 현대차 저평가, 전략적 매수",-0.18,2471.54,쐐기형 패턴 완성으로 급등 후 조정 예상,글로벌 트렌드 변화로 성장주 선호도 증가,감정적 흥분 상태에서 비합리적 판단
2024-08-26,하이브,352820,매도,61,298423,#공포,"너무 무서워서 하이브 전량 매도, 더 떨어지기 전에",-27.2,2408.01,스토캐스틱 과매수에서 베어리시 다이버전스,해외 수주 확대로 수출 기업 수혜 기대,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-08-27,SK하이닉스,000660,매도,338,172455,#욕심,SK하이닉스 100% 오를 것 같아서 대량 매수,-48.84,2264.74,RSI 과매수 구간 진입으로 단기 조정 예상,어닝 서프라이즈 발표로 시장 기대감 급상승,시장 상황 변화에 대한 과도한 낙관론
2024-09-02,하이브,352820,매수,259,306933,#불안,마음이 불안해서 하이브 절반만 매도,-11.2,2471.61,이동평균선 상향 돌파로 상승 모멘텀 확인,금리 인하 기대감으로 성장주 재평가,감정적 흥분 상태에서 비합리적 판단
2024-09-05,현대차,005380,매수,451,396493,#욕심,현대차 100% 오를 것 같아서 대량 매수,-34.92,2440.72,RSI 과매수 구간 진입으로 단기 조정 예상,친환경 정책 강화로 관련 산업 수혜 예상,체계적 분석을 통한 냉정한 투자 접근
2024-09-06,현대차,005380,매도,112,424585,#추격매수,모두가 현대차 산다고 해서 뒤늦게 합류,3.37,2494.18,저항선 돌파 실패로 반락 가능성 증가,어닝 서프라이즈 발표로 시장 기대감 급상승,확실한 수익을 보장받을 수 있다는 착각
2024-09-11,셀트리온,068270,매도,167,63110,#공포,"너무 무서워서 셀트리온 전량 매도, 더 떨어지기 전에",-36.96,2340.91,쐐기형 패턴 완성으로 급등 후 조정 예상,정부 지원 정책 발표로 관련주 테마 부각,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
